user,item,rating
USER_00001,IT_01,5
USER_00001,IT_02,4
USER_00001,IT_03,5
USER_00001,IT_04,5
USER_00001,IT_06,3
USER_00001,IT_07,1
USER_00001,IT_11,4
USER_00001,IT_12,4
USER_00002,IT_05,2
USER_00002,IT_06,3
USER_00002,IT_07,1
USER_00002,IT_08,3
USER_00003,IT_03,5
USER_00003,IT_04,4
USER_00003,IT_06,1
USER_00003,IT_08,2
USER_00003,IT_10,1
USER_00004,IT_01,5
USER_00004,IT_09,4
USER_00004,IT_10,4
USER_00004,IT_11,5
USER_00004,IT_12,1
USER_00004,IT_14,4
USER_00005,IT_02,5
USER_00005,IT_04,5
USER_00005,IT_06,3
USER_00005,IT_09,4
USER_00005,IT_11,4
USER_00005,IT_13,5
USER_00006,IT_08,5
USER_00006,IT_09,4
USER_00006,IT_10,2
USER_00006,IT_11,5
USER_00006,IT_12,1
USER_00007,IT_06,2
USER_00007,IT_13,4
USER_00007,IT_14,2
USER_00008,IT_02,1
USER_00008,IT_06,5
USER_00008,IT_07,1
USER_00008,IT_12,3
USER_00008,IT_14,5
USER_00008,IT_15,5
USER_00009,IT_01,3
USER_00009,IT_05,5
USER_00009,IT_06,5
USER_00010,IT_02,3
USER_00010,IT_06,5
USER_00010,IT_10,1
USER_00010,IT_14,4
USER_00011,IT_04,5
USER_00011,IT_12,1
USER_00011,IT_13,3
USER_00011,IT_14,4
USER_00012,IT_04,5
USER_00012,IT_08,3
USER_00012,IT_09,5
USER_00012,IT_10,1
USER_00012,IT_12,1
USER_00012,IT_14,2
USER_00013,IT_03,1
USER_00013,IT_05,4
USER_00013,IT_06,4
USER_00013,IT_11,3
USER_00013,IT_12,3
USER_00014,IT_05,3
USER_00014,IT_07,2
USER_00014,IT_08,2
USER_00014,IT_12,2
USER_00014,IT_13,4
USER_00014,IT_14,2
USER_00015,IT_04,3
USER_00015,IT_06,2
USER_00015,IT_09,2
USER_00015,IT_14,4
USER_00016,IT_02,1
USER_00016,IT_04,4
USER_00016,IT_06,3
USER_00016,IT_07,5
USER_00016,IT_09,5
USER_00016,IT_13,5
USER_00017,IT_01,4
USER_00017,IT_05,2
USER_00017,IT_06,5
USER_00017,IT_11,5
USER_00017,IT_14,5
USER_00018,IT_06,4
USER_00018,IT_09,4
USER_00018,IT_14,4
USER_00019,IT_04,3
USER_00019,IT_07,3
USER_00019,IT_10,5
USER_00019,IT_13,4
USER_00020,IT_01,1
USER_00020,IT_05,4
USER_00020,IT_08,5
USER_00020,IT_09,5
USER_00020,IT_10,3
USER_00020,IT_11,5
USER_00020,IT_14,5
USER_00020,IT_15,4
USER_00021,IT_04,3
USER_00021,IT_05,1
USER_00021,IT_10,3
USER_00021,IT_13,5
USER_00021,IT_15,4
USER_00022,IT_01,3
USER_00022,IT_07,2
USER_00022,IT_12,1
USER_00023,IT_02,4
USER_00023,IT_05,4
USER_00023,IT_06,1
USER_00023,IT_11,4
USER_00023,IT_13,4
USER_00024,IT_06,5
USER_00024,IT_07,5
USER_00024,IT_09,3
USER_00024,IT_11,4
USER_00024,IT_13,3
USER_00024,IT_15,5
USER_00025,IT_04,3
USER_00025,IT_06,3
USER_00025,IT_07,5
USER_00025,IT_10,1
USER_00026,IT_04,5
USER_00026,IT_08,5
USER_00026,IT_10,3
USER_00026,IT_11,5
USER_00026,IT_12,1
USER_00026,IT_15,1
USER_00027,IT_04,5
USER_00027,IT_06,2
USER_00027,IT_09,4
USER_00027,IT_13,4
USER_00027,IT_14,4
USER_00028,IT_04,5
USER_00028,IT_05,1
USER_00028,IT_08,1
USER_00028,IT_13,5
USER_00028,IT_14,5
USER_00029,IT_06,3
USER_00029,IT_14,4
USER_00030,IT_01,3
USER_00030,IT_04,5
USER_00030,IT_06,2
USER_00030,IT_07,5
USER_00030,IT_08,4
USER_00031,IT_02,3
USER_00031,IT_04,4
USER_00031,IT_06,3
USER_00031,IT_09,4
USER_00031,IT_12,3
USER_00031,IT_14,4
USER_00032,IT_01,1
USER_00032,IT_05,5
USER_00032,IT_14,4
USER_00032,IT_15,1
USER_00033,IT_02,4
USER_00033,IT_05,1
USER_00033,IT_06,4
USER_00033,IT_07,3
USER_00033,IT_10,2
USER_00034,IT_01,1
USER_00034,IT_03,3
USER_00034,IT_04,4
USER_00034,IT_05,2
USER_00034,IT_09,5
USER_00034,IT_12,4
USER_00034,IT_13,5
USER_00034,IT_14,2
USER_00035,IT_01,3
USER_00035,IT_05,1
USER_00035,IT_06,2
USER_00035,IT_08,5
USER_00036,IT_01,2
USER_00036,IT_06,5
USER_00036,IT_07,1
USER_00037,IT_03,1
USER_00037,IT_14,3
USER_00038,IT_01,2
USER_00038,IT_02,3
USER_00038,IT_04,5
USER_00038,IT_06,4
USER_00038,IT_09,4
USER_00039,IT_04,4
USER_00039,IT_05,4
USER_00039,IT_13,3
USER_00040,IT_04,2
USER_00040,IT_06,1
USER_00040,IT_07,2
USER_00040,IT_14,4
USER_00040,IT_15,2
USER_00041,IT_05,4
USER_00041,IT_06,3
USER_00041,IT_14,3
USER_00042,IT_01,5
USER_00042,IT_02,5
USER_00042,IT_03,5
USER_00042,IT_06,1
USER_00042,IT_12,4
USER_00042,IT_14,3
USER_00043,IT_06,3
USER_00043,IT_08,5
USER_00043,IT_10,5
USER_00043,IT_13,3
USER_00044,IT_04,5
USER_00044,IT_05,3
USER_00044,IT_09,4
USER_00044,IT_10,5
USER_00044,IT_12,3
USER_00044,IT_14,5
USER_00045,IT_03,4
USER_00045,IT_04,5
USER_00045,IT_05,3
USER_00045,IT_12,5
USER_00045,IT_14,3
USER_00046,IT_04,3
USER_00046,IT_06,2
USER_00046,IT_07,2
USER_00046,IT_13,5
USER_00047,IT_01,4
USER_00047,IT_06,1
USER_00047,IT_09,3
USER_00047,IT_10,2
USER_00047,IT_11,5
USER_00048,IT_01,3
USER_00048,IT_05,1
USER_00048,IT_06,5
USER_00048,IT_07,3
USER_00048,IT_12,2
USER_00048,IT_14,4
USER_00048,IT_15,1
USER_00049,IT_04,4
USER_00049,IT_06,2
USER_00049,IT_09,4
USER_00049,IT_10,5
USER_00049,IT_12,3
USER_00049,IT_13,4
USER_00049,IT_14,4
USER_00050,IT_03,5
USER_00050,IT_05,2
USER_00050,IT_06,2
USER_00050,IT_13,5
USER_00050,IT_15,1
USER_00051,IT_01,1
USER_00051,IT_02,5
USER_00051,IT_03,1
USER_00051,IT_05,2
USER_00052,IT_02,5
USER_00052,IT_06,1
USER_00052,IT_13,3
USER_00052,IT_14,4
USER_00053,IT_01,2
USER_00053,IT_11,1
USER_00053,IT_14,5
USER_00053,IT_15,4
USER_00054,IT_01,3
USER_00054,IT_03,2
USER_00054,IT_04,4
USER_00054,IT_05,3
USER_00054,IT_09,3
USER_00054,IT_14,5
USER_00054,IT_15,5
USER_00055,IT_01,1
USER_00055,IT_04,3
USER_00055,IT_06,5
USER_00055,IT_11,3
USER_00055,IT_14,3
USER_00056,IT_06,3
USER_00056,IT_07,2
USER_00056,IT_13,4
USER_00056,IT_14,3
USER_00057,IT_01,1
USER_00057,IT_02,5
USER_00057,IT_06,5
USER_00057,IT_07,4
USER_00057,IT_09,5
USER_00057,IT_13,4
USER_00057,IT_14,1
USER_00058,IT_04,4
USER_00058,IT_05,4
USER_00058,IT_06,3
USER_00058,IT_08,3
USER_00058,IT_12,3
USER_00059,IT_02,4
USER_00059,IT_06,4
USER_00059,IT_10,2
USER_00060,IT_07,2
USER_00060,IT_10,3
USER_00060,IT_12,5
USER_00060,IT_13,2
USER_00061,IT_04,4
USER_00061,IT_05,2
USER_00061,IT_06,5
USER_00061,IT_09,3
USER_00061,IT_12,5
USER_00061,IT_14,1
USER_00061,IT_15,1
USER_00062,IT_04,4
USER_00062,IT_05,5
USER_00062,IT_07,5
USER_00062,IT_13,4
USER_00063,IT_01,1
USER_00063,IT_06,2
USER_00063,IT_13,2
USER_00064,IT_05,1
USER_00064,IT_06,4
USER_00064,IT_14,4
USER_00065,IT_05,2
USER_00065,IT_06,3
USER_00065,IT_09,4
USER_00065,IT_11,3
USER_00065,IT_12,4
USER_00065,IT_13,4
USER_00065,IT_14,4
USER_00065,IT_15,4
USER_00066,IT_03,4
USER_00066,IT_04,5
USER_00066,IT_05,2
USER_00066,IT_06,3
USER_00066,IT_07,3
USER_00066,IT_09,4
USER_00066,IT_14,2
USER_00067,IT_05,4
USER_00067,IT_06,4
USER_00067,IT_07,3
USER_00067,IT_14,5
USER_00068,IT_01,5
USER_00068,IT_03,3
USER_00068,IT_04,3
USER_00068,IT_13,2
USER_00068,IT_14,2
USER_00068,IT_15,1
USER_00069,IT_05,5
USER_00069,IT_06,2
USER_00069,IT_07,2
USER_00069,IT_15,1
USER_00070,IT_03,5
USER_00070,IT_06,3
USER_00070,IT_07,5
USER_00070,IT_12,1
USER_00070,IT_14,4
USER_00071,IT_03,3
USER_00071,IT_04,4
USER_00071,IT_05,2
USER_00071,IT_10,3
USER_00071,IT_13,4
USER_00071,IT_14,2
USER_00072,IT_04,5
USER_00072,IT_05,4
USER_00072,IT_06,4
USER_00072,IT_09,3
USER_00072,IT_13,2
USER_00073,IT_03,5
USER_00073,IT_07,4
USER_00073,IT_08,4
USER_00073,IT_09,2
USER_00073,IT_10,4
USER_00073,IT_11,4
USER_00073,IT_13,3
USER_00074,IT_06,2
USER_00074,IT_09,5
USER_00074,IT_10,4
USER_00074,IT_13,1
USER_00074,IT_14,1
USER_00075,IT_03,4
USER_00075,IT_06,3
USER_00075,IT_13,3
USER_00075,IT_15,3
USER_00076,IT_03,3
USER_00076,IT_06,3
USER_00076,IT_07,4
USER_00076,IT_08,5
USER_00076,IT_13,5
USER_00076,IT_14,4
USER_00076,IT_15,5
USER_00077,IT_10,1
USER_00077,IT_12,2
USER_00077,IT_13,1
USER_00077,IT_14,5
USER_00077,IT_15,3
USER_00078,IT_02,3
USER_00078,IT_03,1
USER_00078,IT_05,2
USER_00078,IT_07,3
USER_00078,IT_08,5
USER_00078,IT_09,3
USER_00078,IT_11,4
USER_00078,IT_12,4
USER_00078,IT_14,2
USER_00078,IT_15,2
USER_00079,IT_02,5
USER_00079,IT_04,5
USER_00079,IT_07,4
USER_00079,IT_08,5
USER_00079,IT_09,3
USER_00079,IT_12,4
USER_00079,IT_13,1
USER_00080,IT_01,5
USER_00080,IT_06,4
USER_00080,IT_08,5
USER_00080,IT_11,3
USER_00080,IT_13,2
USER_00081,IT_04,5
USER_00081,IT_09,4
USER_00081,IT_10,3
USER_00081,IT_11,5
USER_00081,IT_13,4
USER_00081,IT_14,3
USER_00082,IT_03,5
USER_00082,IT_06,4
USER_00082,IT_08,5
USER_00082,IT_09,5
USER_00082,IT_12,3
USER_00082,IT_14,5
USER_00083,IT_06,1
USER_00083,IT_09,4
USER_00083,IT_10,2
USER_00083,IT_11,5
USER_00083,IT_13,3
USER_00084,IT_04,3
USER_00084,IT_12,5
USER_00084,IT_13,3
USER_00085,IT_06,3
USER_00085,IT_10,3
USER_00085,IT_15,1
USER_00086,IT_02,5
USER_00086,IT_04,5
USER_00086,IT_05,1
USER_00086,IT_06,5
USER_00086,IT_10,5
USER_00086,IT_12,2
USER_00086,IT_13,3
USER_00086,IT_15,5
USER_00087,IT_05,3
USER_00087,IT_06,4
USER_00087,IT_07,5
USER_00087,IT_11,5
USER_00087,IT_13,2
USER_00087,IT_14,2
USER_00088,IT_06,3
USER_00088,IT_07,1
USER_00088,IT_09,5
USER_00088,IT_12,3
USER_00088,IT_15,1
USER_00089,IT_03,1
USER_00089,IT_04,5
USER_00089,IT_06,2
USER_00089,IT_09,4
USER_00089,IT_10,2
USER_00089,IT_15,5
USER_00090,IT_03,2
USER_00090,IT_05,5
USER_00090,IT_06,3
USER_00090,IT_14,3
USER_00091,IT_03,1
USER_00091,IT_06,3
USER_00091,IT_13,5
USER_00091,IT_14,5
USER_00092,IT_01,3
USER_00092,IT_05,2
USER_00092,IT_07,4
USER_00092,IT_10,5
USER_00092,IT_11,5
USER_00093,IT_04,5
USER_00093,IT_06,5
USER_00093,IT_09,3
USER_00093,IT_12,4
USER_00093,IT_13,5
USER_00093,IT_14,3
USER_00093,IT_15,3
USER_00094,IT_02,1
USER_00094,IT_04,2
USER_00094,IT_07,2
USER_00094,IT_08,3
USER_00094,IT_12,2
USER_00094,IT_13,4
USER_00094,IT_14,1
USER_00095,IT_01,3
USER_00095,IT_02,4
USER_00095,IT_03,4
USER_00095,IT_06,4
USER_00095,IT_07,5
USER_00095,IT_09,4
USER_00095,IT_10,2
USER_00095,IT_11,5
USER_00095,IT_12,1
USER_00095,IT_14,5
USER_00095,IT_15,4
USER_00096,IT_03,3
USER_00096,IT_07,2
USER_00096,IT_10,1
USER_00096,IT_11,4
USER_00096,IT_14,1
USER_00097,IT_03,5
USER_00097,IT_04,3
USER_00097,IT_05,5
USER_00097,IT_06,4
USER_00097,IT_11,5
USER_00097,IT_14,4
USER_00098,IT_07,4
USER_00098,IT_08,4
USER_00098,IT_09,4
USER_00098,IT_10,4
USER_00098,IT_14,5
USER_00098,IT_15,5
USER_00099,IT_01,3
USER_00099,IT_02,5
USER_00099,IT_04,5
USER_00099,IT_06,5
USER_00099,IT_07,2
USER_00099,IT_08,1
USER_00099,IT_10,5
USER_00099,IT_12,1
USER_00099,IT_14,3
USER_00100,IT_05,1
USER_00100,IT_07,2
USER_00100,IT_08,5
USER_00100,IT_09,5
USER_00100,IT_13,3
USER_00100,IT_15,3
USER_00101,IT_01,2
USER_00101,IT_04,4
USER_00101,IT_06,3
USER_00101,IT_13,2
USER_00101,IT_14,4
USER_00102,IT_01,2
USER_00102,IT_04,3
USER_00102,IT_06,3
USER_00102,IT_09,4
USER_00102,IT_13,5
USER_00102,IT_15,3
USER_00103,IT_02,5
USER_00103,IT_03,4
USER_00103,IT_04,5
USER_00103,IT_11,5
USER_00103,IT_13,5
USER_00103,IT_14,1
USER_00103,IT_15,2
USER_00104,IT_05,3
USER_00104,IT_06,5
USER_00104,IT_09,5
USER_00104,IT_14,2
USER_00104,IT_15,1
USER_00105,IT_03,3
USER_00105,IT_05,4
USER_00105,IT_06,1
USER_00105,IT_09,4
USER_00105,IT_11,5
USER_00105,IT_15,5
USER_00106,IT_01,2
USER_00106,IT_06,3
USER_00106,IT_07,4
USER_00106,IT_13,3
USER_00106,IT_14,1
USER_00106,IT_15,5
USER_00107,IT_02,4
USER_00107,IT_03,1
USER_00107,IT_04,5
USER_00107,IT_06,3
USER_00107,IT_09,5
USER_00107,IT_13,5
USER_00108,IT_04,5
USER_00108,IT_06,4
USER_00108,IT_08,5
USER_00108,IT_13,4
USER_00108,IT_14,5
USER_00109,IT_02,4
USER_00109,IT_03,3
USER_00109,IT_07,5
USER_00109,IT_09,5
USER_00109,IT_13,2
USER_00109,IT_14,3
USER_00110,IT_09,2
USER_00110,IT_11,4
USER_00110,IT_12,2
USER_00110,IT_14,1
USER_00111,IT_06,2
USER_00111,IT_10,2
USER_00111,IT_12,1
USER_00111,IT_13,3
USER_00111,IT_15,1
USER_00112,IT_03,2
USER_00112,IT_04,3
USER_00112,IT_05,5
USER_00112,IT_08,4
USER_00112,IT_09,5
USER_00112,IT_10,5
USER_00112,IT_11,5
USER_00112,IT_14,3
USER_00113,IT_01,1
USER_00113,IT_03,1
USER_00113,IT_06,5
USER_00113,IT_11,2
USER_00113,IT_15,4
USER_00114,IT_06,4
USER_00114,IT_08,4
USER_00114,IT_11,4
USER_00114,IT_12,3
USER_00114,IT_13,5
USER_00114,IT_15,3
USER_00115,IT_06,4
USER_00115,IT_07,4
USER_00115,IT_11,5
USER_00115,IT_12,5
USER_00115,IT_13,5
USER_00115,IT_14,3
USER_00115,IT_15,4
USER_00116,IT_01,5
USER_00116,IT_04,3
USER_00116,IT_06,4
USER_00116,IT_09,5
USER_00116,IT_13,3
USER_00116,IT_15,5
USER_00117,IT_02,5
USER_00117,IT_03,1
USER_00117,IT_04,3
USER_00117,IT_06,1
USER_00117,IT_10,2
USER_00117,IT_12,5
USER_00117,IT_13,4
USER_00117,IT_15,2
USER_00118,IT_01,4
USER_00118,IT_04,4
USER_00118,IT_05,5
USER_00118,IT_06,5
USER_00118,IT_10,5
USER_00118,IT_11,5
USER_00118,IT_12,1
USER_00118,IT_13,5
USER_00118,IT_14,5
